Home Type,Posted,URL,Home Status,Home Price,Home City,Home Address,Home Zipcode,Lat,Lon,Num Beds,Num Baths,Square Feet,Brokered by
single_family,2024-12-30T20:54:35.000000Z,https://www.realtor.com/realestateandhomes-detail/348-6th-Ave-N_Onalaska_WI_54650_M77372-76902,for_sale,249000,Onalaska,348 6th Ave N,54650,43.887616,-91.231052,4,2,2000,GERRARD-HOESCHLER REALTORS
single_family,2024-12-15T10:34:04.000000Z,https://www.realtor.com/realestateandhomes-detail/N65W30990-Beaver-Lake-Rd_Hartland_WI_53029_M80146-12766,for_sale,290000,Merton,N65W30990 Beaver Lake Rd,53029,43.137914,-88.36154,4,3,3660,The Rosemont Group Realty LLC
single_family,2024-12-11T21:08:57.000000Z,https://www.realtor.com/realestateandhomes-detail/825-County-Road-MM_Oregon_WI_53575_M97308-49374,for_sale,69000,Oregon,825 County Road MM,53575,42.898567,-89.373787,4,1,1788,"Lauer Realty Group, Inc."
single_family,2024-12-31T19:10:47.000000Z,https://www.realtor.com/realestateandhomes-detail/1904-Roberts-Dr_Stevens-Point_WI_54481_M78702-89993,for_sale,295500,Stevens Point,1904 Roberts Rd,54481,44.517816,-89.527921,3,2,2156,CENTURY 21 Burkett & Associates
single_family,2024-12-28T03:12:38.000000Z,https://www.realtor.com/realestateandhomes-detail/N8406-County-Road-G_Necedah_WI_54646_M72757-28144,for_sale,425000,Germantown,N8406 County Road G,54646,43.947832,-90.014969,3,2,2237,RE MAX Newport
single_family,2024-12-30T20:47:42.000000Z,https://www.realtor.com/realestateandhomes-detail/2904-7th-St_Monroe_WI_53566_M79765-80228,for_sale,294000,Monroe,2904 7th St,53566,42.605049,-89.623981,3,1.5+,1797,First Weber Realtors
single_family,2024-12-31T00:36:32.000000Z,https://www.realtor.com/realestateandhomes-detail/27333-Pioneer-Rd_Waterford_WI_53185_M86565-97254,for_sale,249900,Norway,27333 Pioneer Rd,53185,42.808131,-88.177256,3,2.5,2000,1st Choice Properties-Waterford
single_family,2024-12-30T19:19:38.000000Z,https://www.realtor.com/realestateandhomes-detail/15706-County-Road-M_Cleveland_WI_53015_M95830-89733,for_sale,329900,Meeme,15706 County Road M,53015,43.908447,-87.882294,4,1.5,2688,RE MAX Universal Realty
single_family,2024-12-31T21:05:11.000000Z,https://www.realtor.com/realestateandhomes-detail/2214-Markham-St_Manitowoc_WI_54220_M81323-98060,for_sale,277900,Manitowoc,2214 Markham St,54220,44.111256,-87.678613,3,1.5,1679,Quorum Realty
single_family,2024-12-29T03:18:55.000000Z,https://www.realtor.com/realestateandhomes-detail/3819-N-Roherty-Rd_Evansville_WI_53536_M80779-46924,for_sale,489999,Evansville,3819 N Roherty Rd,53536,42.728672,-89.171469,2,2,1752,CENTURY 21 Affiliated
